Naive Bayes,Árvore,Random Forest,Regras,kNN,Logística,SVM,RNA
8,6,2,3,5,7,4,1
8,6,2,3,5,7,4,1
8,6,2,4,5,7,3,1
8,6,2,3,5,7,4,1
8,6,2,3,5,7,4,1
8,6,2,3,5,7,4,1
8,6,2,4,5,7,3,1
8,6,2,3,5,7,4,1
8,6,2,4,5,7,3,1
8,6,2,4,5,7,3,1
8,6,2,3,5,7,4,1
8,6,2,3,4,7,5,1
8,6,2,3,5,7,4,1
8,6,2,3,5,7,4,1
8,6,3,2,5,7,4,1
8,6,2,3,5,7,4,1
8,6,3,2,5,7,4,1
8,6,2,3,5,7,4,1
8,6,2,3,5,7,4,1
8,6,2,3,5,7,4,1
8,6,2,3,5,7,4,1
8,6,2,3,5,7,4,1
8,6,2,4,5,7,3,1
8,6,2,3,5,7,4,1
8,6,2,3,5,7,4,1
8,6,2,3,5,7,4,1
8,6,3,2,5,7,4,1
8,6,2,3,5,7,4,1
8,6,2,4,5,7,3,1
8,6,2,4,5,7,3,1
