Lanche;Valor Energetico;Carboidratos;Proteinas;Gorduras Totais;Gorduras Saturadas;Gorduras Trans ;Colesterol;Fibra Alimentar;Sodio;Calcio;Ferro
Big Mac;504;41;25;27;12;0,5;54;3,5;960;162;6,5
Big Tasty;843;45;41;55;24;1,7;104;5,1;1511;381;8,2
Quarterao;558;36;31;32;16;1,3;86;3,6;1216;275;10
Mcnifico Bacon;625;38;34;37;16;1,3;95;3,9;1255;209;11
Cheddar McMelt;507;33;29;29;14;1,2;81;2,9;819;199;10
McFish;373;38;18;16;5,8;0,4;43;2,2;773;168;3,8
McChicken;454;40;18;25;6;0,3;49;3,1;1068;67;4
McChicken Jr;337;33;13;17;4,5;0,4;11;3,3;633;58;3,1
Chicken Classic Crispy;490;52;24;20;4,4;0,2;33;6,7;1361;38;2,5
Chicken Classic Grill;425;44;34;12;2;0,2;68;5,5;1072;44;2,6
Chicken Club Crispy;610;54;31;30;9,3;0,5;58;6,7;1831;115;3
Chicken Club Grill;545;46;41;22;7;0,4;93;5,5;1542;121;3
Chicken Lemon Crispy;454;54;24;16;7;0,2;28;6,7;1290;37;2,5
Chicken Lemon Grill;389;46;34;7,8;0,8;0,2;63;5,5;1001;43;2,5
Cheeseburger;310;32;15;14;7;0,4;31;1,9;781;146;4,2
Hamburger;257;31;13;9,3;4,1;0,3;22;1,9;542;70;4,2
Wrap Grill Maionese;340;29;19;16;3,4;0,1;42;1,2;888;175;0,83
Wrap Crispy Maionese;372;33;14;20;4,6;0,2;25;1,8;1032;172;0,81
Wrap Grill Lemon;306;30;19;12;2,1;0,1;38;1,1;829;175;0,78
Wrap Crispy Lemon;338;34;14;16;3,3;0,1;21;1,8;974;172;0,77
Chicken Bacon Crispy;515;45;27;25;10;0,4;47;3;1487;165;4,4
Chicken Bacon Grill;425;31;39;16;5;0,4;83;3;1151;161;3,9
Angus Bacon;861;57;54;46;21;1,7;145;5;1917;193;4
Angus Deluxe;863;56;51;49;21;1,7;139;5;1716;197;3,8
CBO ;643;56;27;35;11;0,7;71;4;1220;236;6,9
