Município;Pop_Menos_15Anos_2014;Pop_com_60Anoso_2014;Habitantes;area;taxa_natalidade;Esgoto_2010;Empregos_formais_2013;PIB
São Paulo;19,73;13,18;11245983;1521,10;15,09;92,26;5247898;499375,40
Campinas;18,17;13,75;1079140;794,43;13,93;87,02;436561;42766,02
Guarulhos;22,50;9,57;1220653;318,68;16,92;86,90;354409;44670,72
Ribeirão Preto;18,24;13,80;603774;650,96;13,15;97,48;230619;20300,80
Jundiaí;18,24;14,55;369710;431,17;14,26;95,90;181170;23712,62
São Bernardo do Campo;19,39;11,93;764922;409,48;14,13;90,26;292028;34185,28
Sorocaba;19,38;12,20;585780;449,80;14,99;97,75;206073;19019,10
Bauru;18,60;14,45;343695;667,68;13,76;97,79;129238;8430,52
Osasco;20,86;11,11;666621;64,95;15,69;83,76;175612;39198,92
Embu das Artes;23,96;8,36;239939;70,39;18,38;72,78;44988;5667,04
Santo André;18,00;15,02;676177;175,78;13,05;94,48;215122;18085,14
São José dos Campos;20,44;11,57;629106;1099,41;14,57;93,30;211462;28089,10
São José do Rio Preto;17,08;15,08;407816;431,96;12,64;99,08;140718;10738,22
Limeira;18,79;13,24;275786;580,71;12,40;98,45;89750;7718,28
Mogi das Cruzes;21,63;11,55;387260;712,67;15,20;82,31;101402;9737,24
Piracicaba;18,85;13,97;364261;1378,50;14,11;97,96;134033;11887,39
Diadema;22,06;9,17;385838;30,80;16,33;96,55;111520;11645,67
Santos;16,29;20,25;419388;280,67;11,72;95,29;189731;37722,53
Barueri;23,58;8,53;240459;65,69;23,31;90,95;258584;33075,59
Araraquara;17,13;15,16;208429;1003,67;12,65;98,89;75373;5681,83
Presidente Prudente;18,29;15,01;207449;562,79;12,82;97,96;67790;4830,82
Praia Grande;21,63;13,42;261391;147,07;15,44;72,53;43934;4164,01
São Vicente;21,09;12,59;332193;147,89;15,32;87,08;41321;3835,80
Franca;20,35;12,88;318369;605,68;14,27;99,31;92035;6071,13
Marília;18,12;15,01;216576;1170,25;13,45;97,72;64346;4585,31
Carapicuíba;23,06;9,90;369368;34,55;18,21;81,19;45284;4136,55
Mauá;20,78;9,78;416585;61,87;13,55;90,36;73131;7863,73
Guarujá;22,37;10,52;290526;143,45;15,61;77,97;52348;4571,99
Itaquaquecetuba;24,83;7,51;321329;82,61;17,01;71,33;46464;3892,60
São Carlos;18,01;14,23;221692;1137,33;13,08;99,43;76892;5769,75
Botucatu;19,34;14,47;127156;1482,64;12,67;95,65;41382;3215,05
Itu;20,36;11,84;153980;639,58;14,78;96,62;59118;4772,54
Suzano;22,45;10,16;262179;206,20;15,54;85,01;53573;5681,81
Sumaré;21,13;9,73;240901;153,50;15,10;93,75;52998;7812,31
Taubaté;19,70;12,73;278379;624,89;14,53;95,93;88504;9429,90
Rio Claro;18,05;14,46;186095;498,42;12,16;98,99;67009;5847,52
Barretos;18,33;14,88;112030;1565,64;13,10;98,26;32975;2321,65
Araçatuba;17,29;15,65;181473;1167,44;12,43;98,65;54834;4822,68
Indaiatuba;19,29;11,57;201089;312,05;13,72;94,13;72463;6163,10
Taboão da Serra;22,71;9,18;244095;20,39;17,87;90,82;62184;5331,63
Mogi Guaçu;18,95;13,32;137131;812,16;13,60;99,37;40766;3199,03
Sertãozinho;19,97;11,51;109936;402,87;14,06;98,94;47390;4209,65
Itapecerica da Serra;23,71;8,37;152407;150,87;18,01;35,81;23215;3442,74
Itapevi;25,00;7,53;200415;82,66;19,15;74,44;37747;6712,58
